greyhound,dog_id,date,track,distance,trap,finish_position,run_time,sectional_time,sp,race_class,btn_distance,source
Aayamza Legend,,2026-03-07,Yarmouth,462,1,1,27.95,,07/03,,,timeform
Aayamza Legend,63909.0,2026-02-28,Monmore,480,3,2,28.83,4.46,3/1,OR,4,sporting_life
Aayamza Legend,63909.0,2026-02-21,Monmore,480,4,5,28.4,4.44,25/1,OR,2 ¼,sporting_life
Aayamza Legend,,2026-02-16,Yarmouth,462,1,1,27.7,,16/02,,,timeform
Aayamza Legend,,2026-02-05,Monmore,264,1,1,15.37,,05/02,,,timeform
Aayamza Legend,,2026-01-31,Yarmouth,277,1,1,16.64,,31/01,,,timeform
Aayamza Legend,63909.0,2025-12-12,Romford,575,2,5,35.72,13.56,3/1,OR,2,sporting_life
Aayamza Legend,63909.0,2025-12-05,Romford,575,4,2,35.64,14.13,10/3,OR,6 ½,sporting_life
Aayamza Legend,63909.0,2025-11-28,Romford,575,4,2,35.48,13.62,10/11,OR,¾,sporting_life
Aayamza Legend,63909.0,2025-11-21,Romford,575,4,1,35.09,13.59,4/9,OR,,sporting_life
Aayamza Legend,,2025-11-14,Romford,400,1,1,23.72,,14/11,,,timeform
Aayamza Legend,,2025-11-07,Romford,400,1,1,23.88,,07/11,,,timeform
Aayamza Legend,,2025-10-31,Romford,400,1,1,23.89,,31/10,,,timeform
Aayamza Legend,,2025-10-22,Yarmouth,277,1,1,16.33,,22/10,,,timeform
Aayamza Legend,63909.0,2025-08-03,Towcester,500,3,4,29.65,4.21,6/1,OR,¾,sporting_life
Aayamza Legend,63909.0,2025-07-27,Towcester,500,4,3,29.83,4.23,7/1,OR,nk,sporting_life
Aayamza Legend,63909.0,2025-07-20,Towcester,500,2,4,29.74,4.21,8/1,OR,¾,sporting_life
Aayamza Legend,,2025-07-13,Towcester,270,3,2,16.19,,13/07,,,timeform
Aayamza Legend,,2025-06-22,Towcester,500,3,1,29.64,,22/06,,,timeform
Abel Mabel,59915.0,2026-03-04,Romford,400,4,1,24.64,3.7,7/2,A6,,sporting_life
Abel Mabel,59915.0,2026-02-24,Romford,400,3,3,24.54,3.74,5/1,A6,¾,sporting_life
Abel Mabel,59915.0,2026-02-17,Romford,400,3,1,24.5,3.74,10/3,A7,,sporting_life
Abel Mabel,59915.0,2026-02-10,Romford,400,3,2,24.57,3.68,9/1,A6,1 ¾,sporting_life
Abel Mabel,59915.0,2026-01-31,Romford,400,4,2,24.54,3.69,7/2,A6,nk,sporting_life
Abel Mabel,59915.0,2026-01-20,Romford,400,3,1,24.57,3.82,5/2,A7,,sporting_life
Abel Mabel,59915.0,2026-01-10,Romford,400,3,1,24.76,3.85,7/2,A8,,sporting_life
Abel Mabel,59915.0,2025-12-27,Romford,400,3,4,24.65,3.7,8/1,A8,¾,sporting_life
Abel Mabel,59915.0,2025-12-20,Romford,400,3,1,24.84,3.79,9/4,A9,,sporting_life
Abel Mabel,59915.0,2025-12-12,Romford,400,3,5,25.11,3.93,15/8,A9,2,sporting_life
Abel Mabel,59915.0,2025-12-01,Romford,400,3,2,24.63,3.7,2/1,A8,1 ½,sporting_life
Abel Mabel,59915.0,2025-11-18,Romford,400,3,2,24.58,3.88,5/1,A8,¾,sporting_life
Abel Mabel,59915.0,2025-11-08,Romford,400,3,5,25.84,3.81,11/4,A8,3 ½,sporting_life
Abel Mabel,59915.0,2025-10-28,Romford,400,4,1,24.51,3.75,15/8,A9,,sporting_life
Abel Mabel,59915.0,2025-10-22,Romford,400,3,4,24.97,3.82,7/2,A8,½,sporting_life
Abel Mabel,59915.0,2025-10-15,Romford,400,3,5,25.26,3.87,3/1,A8,3,sporting_life
Abel Mabel,59915.0,2025-10-07,Romford,400,3,4,24.92,3.86,5/1,A8,3,sporting_life
Abel Mabel,59915.0,2025-09-30,Romford,400,3,1,24.5,3.85,3/1,A9,,sporting_life
Abel Mabel,59915.0,2025-09-24,Romford,400,3,3,25.12,4.0,13/8,A9,2 ¼,sporting_life
Abel Mabel,59915.0,2025-09-16,Romford,400,3,1,24.73,3.76,15/8,A10,,sporting_life
Abel Mabel,59915.0,2025-09-09,Romford,400,3,1,25.1,3.91,5/4,A11,,sporting_life
Abel Mabel,59915.0,2025-09-03,Romford,400,4,2,24.67,3.73,5/2,A10,1 ½,sporting_life
Abel Mabel,59915.0,2025-08-26,Romford,400,3,2,24.78,3.76,3/1,A10,5,sporting_life
Abel Mabel,59915.0,2025-08-19,Romford,400,4,1,24.69,3.79,13/8,A11,,sporting_life
Abel Mabel,59915.0,2025-08-13,Romford,400,3,5,25.09,3.87,8/1,A10,1,sporting_life
Abel Mabel,59915.0,2025-08-09,Romford,400,3,6,25.39,3.87,10/3,A9,2 ½,sporting_life
Abel Mabel,59915.0,2025-08-02,Romford,400,3,3,24.69,3.76,7/1,A9,¾,sporting_life
Abel Mabel,59915.0,2025-07-26,Romford,400,3,5,25.05,3.86,7/2,A9,½,sporting_life
Abel Mabel,59915.0,2025-07-19,Romford,400,3,4,25.0,3.89,9/1,A9,½,sporting_life
Abel Mabel,59915.0,2025-07-14,Romford,400,3,3,24.94,3.77,6/1,A9,½,sporting_life
Abel Mabel,59915.0,2025-07-07,Romford,400,4,1,25.07,3.83,9/2,A10,,sporting_life
Abel Mabel,59915.0,2025-06-23,Romford,400,3,5,25.44,3.99,6/1,A9,5 ¼,sporting_life
Abel Mabel,59915.0,2025-06-14,Romford,400,3,6,25.47,3.91,15/8,A9,4 ½,sporting_life
Abel Mabel,59915.0,2025-05-31,Romford,400,3,2,24.64,3.82,13/8,A9,1 ½,sporting_life
Abel Mabel,59915.0,2025-05-24,Romford,400,3,2,24.78,3.83,6/1,A9,1 ¼,sporting_life
Abel Mabel,59915.0,2025-05-17,Romford,400,3,1,24.63,3.69,4/11,A11,,sporting_life
Abel Mabel,59915.0,2025-05-10,Romford,400,4,3,24.96,3.78,11/4,A11,sh,sporting_life
Abel Mabel,59915.0,2025-05-03,Romford,400,4,3,24.95,3.72,7/4,A11,hd,sporting_life
Abel Mabel,59915.0,2025-04-28,Romford,400,4,3,24.98,3.82,13/8,A11,sh,sporting_life
Abel Mabel,59915.0,2025-04-19,Romford,400,3,5,25.29,3.81,5/2,A10,½,sporting_life
Abel Mabel,59915.0,2025-04-12,Romford,400,3,2,25.0,3.81,15/8,A10,4 ¾,sporting_life
Abel Mabel,59915.0,2025-04-05,Romford,400,3,3,24.98,3.75,9/4,A10,½,sporting_life
Abel Mabel,59915.0,2025-03-31,Romford,400,4,4,25.35,3.77,5/2,A10,2,sporting_life
Abel Mabel,59915.0,2025-03-25,Romford,400,4,1,24.81,3.72,3/1,A11,,sporting_life
Abel Mabel,,2025-03-20,Romford,400,4,2,24.91,,20/03,,,timeform
Abel Mabel,59915.0,2025-02-15,Romford,400,3,2,25.17,3.85,11/4,A10,3 ¾,sporting_life
Abel Mabel,59915.0,2025-02-10,Romford,400,2,3,25.25,3.93,5/4,A10,hd,sporting_life
Abel Mabel,59915.0,2025-02-01,Romford,400,3,1,24.79,3.84,7/4,A11,,sporting_life
Abel Mabel,59915.0,2025-01-20,Romford,400,3,3,25.17,3.87,10/11,A11,sh,sporting_life
Abel Mabel,59915.0,2025-01-14,Romford,400,3,2,24.97,3.81,15/8,A11,¾,sporting_life
Abel Mabel,59915.0,2025-01-04,Romford,400,3,2,24.5,3.76,3/1,A10,3,sporting_life
Abel Mabel,59915.0,2024-12-26,Romford,400,3,2,25.12,3.86,3/1,A10,2 ¼,sporting_life
Abel Mabel,59915.0,2024-12-18,Romford,400,2,3,25.01,3.84,10/3,A10,1,sporting_life
Abel Mabel,59915.0,2024-12-14,Romford,400,2,2,25.04,3.82,3/1,A10,hd,sporting_life
Abel Mabel,59915.0,2024-12-09,Romford,400,2,1,24.97,3.72,5/4,A11,,sporting_life
Abel Mabel,59915.0,2024-12-02,Romford,400,3,2,24.96,3.84,6/1,A11,3 ¼,sporting_life
Abel Mabel,59915.0,2024-11-27,Romford,400,2,4,25.28,3.85,10/1,A11,sh,sporting_life
Abel Mabel,59915.0,2024-11-23,Romford,400,2,5,25.41,3.9,5/1,A11,½,sporting_life
Abel Mabel,59915.0,2024-11-15,Romford,400,2,5,25.21,3.91,14/1,A10,1 ¾,sporting_life
Abel Mabel,59915.0,2024-11-04,Romford,400,2,1,25.22,3.81,15/8,A11,,sporting_life
Abel Mabel,59915.0,2024-10-26,Romford,400,2,3,25.3,3.85,9/1,A11,3,sporting_life
Abel Mabel,59915.0,2024-10-22,Romford,400,2,3,25.61,3.88,7/2,A11,1 ½,sporting_life
