Race,Time,Dog,Trap,Odds,EstTime,ModelWin%,ModelPlace%,MktWin%,MktPlace%,Edge,Type,KellyPct,Stake,Confidence
R1,18:33,Abel Mabel,T3,'9/2,24.58s,35.7%,66.5%,14.6%,27.1%,+17.5%,E/W,35.6%,35.60,***
R2,18:53,Headford Wayne,T1,'11/2,24.50s,38.2%,65.8%,13.3%,24.8%,+22.8%,E/W,41.8%,26.92,**
R3,19:13,Rockmount Kellie,T1,'7/4,13.11s,89.0%,97.3%,33.6%,55.9%,+52.6%,E/W,50.0%,18.74,***
R4,19:33,Lesleys Buddy,T3,'3,13.28s,48.5%,82.6%,20.9%,37.4%,+23.5%,E/W,50.0%,9.37,**
R4,19:33,Alan The First,T1,'9/2,13.57s,21.4%,51.0%,15.2%,28.1%,+3.2%,E/W,6.7%,1.26,*
R5,19:53,Farneys Tearaway,T5,'7/2,34.17s,77.9%,99.6%,18.4%,33.5%,+55.7%,E/W,50.0%,4.06,**
R5,19:53,Ballymac Florie,T4,'9/2,34.92s,21.7%,69.8%,15.1%,27.9%,+3.5%,E/W,23.7%,1.92,***
R6,20:13,Flashing Fender,T4,'10/3,23.77s,36.5%,65.3%,19.5%,35.2%,+13.4%,E/W,25.9%,0.55,*
R7,20:33,Charlie Loves Me,T1,'18,24.38s,15.2%,40.6%,4.5%,8.9%,+9.9%,E/W,23.8%,0.38,**
R8,20:53,Piemans Goalie,T1,'7/4,24.04s,55.4%,81.3%,31.6%,53.2%,+19.0%,E/W,43.2%,0.52,***
R10,21:33,Real Gone Lover,T6,'10,35.88s,17.7%,49.8%,7.7%,14.8%,+8.6%,E/W,23.3%,0.16,***
R11,21:53,Inca Lewie,T3,'8,34.69s,75.8%,85.7%,9.8%,18.6%,+64.7%,E/W,50.0%,0.26,**
