date,track,race_number,race_time,distance,grade,race_name,trap,greyhound,dog_id,best_time,form,trainer,sire,dam,sex,colour,age
2026-03-13,Romford,1,18:33,400,A5,ROMFORD Friday 13th March 2026 PGR Meeting,1,Goulane Vegas,64523,24.39,15352,D Mullins,King Elvis,Goulane Heather,b,ltbd,2
2026-03-13,Romford,1,18:33,400,A5,ROMFORD Friday 13th March 2026 PGR Meeting,2,Olwinn Seen It,61022,24.46,34123,D K Hurlock,Ballymac Cashout,Jumeirah Zena,b,be,3
2026-03-13,Romford,1,18:33,400,A5,ROMFORD Friday 13th March 2026 PGR Meeting,3,Abel Mabel,59915,24.5,22131,M E Wiley,Ice On Fire,To Tone Grace,b,bk,3
2026-03-13,Romford,1,18:33,400,A5,ROMFORD Friday 13th March 2026 PGR Meeting,4,Bonville Secret,67128,24.4,,M L Locke,Droopys Addition,Union Secret,b,be,1
2026-03-13,Romford,1,18:33,400,A5,ROMFORD Friday 13th March 2026 PGR Meeting,5,Droopys Rhona,65779,24.43,14342,P W Young,Droopys Got It,Blueberry Bullet,b,bk,1
2026-03-13,Romford,1,18:33,400,A5,ROMFORD Friday 13th March 2026 PGR Meeting,6,Bluejig Designer,63576,24.17,24435,P D Burr,Coolavanny Hoffa,Designer,b,bd,2
2026-03-13,Romford,2,18:53,400,OR,WELCOME TO ROMFORD MAIDEN,1,Headford Wayne,67040,24.44,3,M L Locke,Grangeview Ten,Headford Honey,d,bk,1
2026-03-13,Romford,2,18:53,400,OR,WELCOME TO ROMFORD MAIDEN,2,Skidroe Lady,66801,24.42,136,M L Locke,Feora Chris,Letter Lady,b,bebd,1
2026-03-13,Romford,2,18:53,400,OR,WELCOME TO ROMFORD MAIDEN,3,Aero Espresso,64486,24.57,6-,R Taberner,Good News,Jaytee Sahara,d,f,2
2026-03-13,Romford,2,18:53,400,OR,WELCOME TO ROMFORD MAIDEN,4,Calypso Blaze,66947,24.03,151,P D Burr,Droopys Addition,Headford Bride,d,bk,1
2026-03-13,Romford,2,18:53,400,OR,WELCOME TO ROMFORD MAIDEN,5,Lil Bo Beep,63625,24.21,45421,D W Lee,Dorotas Wildcat,Bo Bobbity,b,bk,2
2026-03-13,Romford,2,18:53,400,OR,WELCOME TO ROMFORD MAIDEN,6,Hellofalooker,66606,24.62,31454,L E Morrison,Out Of Range Asb,Suave Machine,b,wbebd,1
2026-03-13,Romford,3,19:13,225,OR3,STEVE SIMMONS SPRINT - HEAT 1,1,Rockmount Kellie,65513,,113-11,C R Morris,Grangeview Ten,Rockmount Winnie,b,bd,2
2026-03-13,Romford,3,19:13,225,OR3,STEVE SIMMONS SPRINT - HEAT 1,2,Brindle Moon,59284,13.52,13546,M E Wiley,Grangeview Ten,Fairest Street,d,bd,3
2026-03-13,Romford,3,19:13,225,OR3,STEVE SIMMONS SPRINT - HEAT 1,3,My Lil Bella,65424,13.72,41653,P W Young,Dromana Bucko,Yahoo Amelia,b,dkbd,2
2026-03-13,Romford,3,19:13,225,OR3,STEVE SIMMONS SPRINT - HEAT 1,4,Bretons Girl,64217,13.5,24243,N J Hunt,Ballymac Best,Te Amo,b,bk,2
2026-03-13,Romford,3,19:13,225,OR3,STEVE SIMMONS SPRINT - HEAT 1,5,Mahoonagh Hoffa,62969,13.43,31-322,P W Young,Coolavanny Hoffa,Mahoonagh Minta,d,bk,2
2026-03-13,Romford,3,19:13,225,OR3,STEVE SIMMONS SPRINT - HEAT 1,6,Jayar Rogue,61815,13.68,4434-5,M L Locke,Ballymac Bolger,Headford Honey,d,bk,2
2026-03-13,Romford,4,19:33,225,OR3,STEVE SIMMONS SPRINT - HEAT 2,1,Alan The First,62140,13.57,56255,M E Wiley,Ballymac Cashout,Cloncunny Peecee,d,bk,2
2026-03-13,Romford,4,19:33,225,OR3,STEVE SIMMONS SPRINT - HEAT 2,2,Bretons Boy,57972,13.59,22454,N J Hunt,Droopys Sydney,Beaming Una,d,be,3
2026-03-13,Romford,4,19:33,225,OR3,STEVE SIMMONS SPRINT - HEAT 2,3,Lesleys Buddy,65748,13.5,1-2415,P W Young,Shima Shine,Queen Lilly,d,bk,1
2026-03-13,Romford,4,19:33,225,OR3,STEVE SIMMONS SPRINT - HEAT 2,4,Bombay Trend,62959,13.61,12531,M E Wiley,Burgess Bucks,Cosy Trend,d,bk,2
2026-03-13,Romford,4,19:33,225,OR3,STEVE SIMMONS SPRINT - HEAT 2,5,Stradeen Spirit,61828,,21156,D Mullins,Pestana,Springside Jiver,d,bk,2
2026-03-13,Romford,4,19:33,225,OR3,STEVE SIMMONS SPRINT - HEAT 2,6,Piemans Fletch,65352,13.87,52313,D Mullins,Broadstand Bono,Happy Girl,d,bk,3
2026-03-13,Romford,5,19:53,575,OR,DONATE YOUR OLD DUVETS FOR OUR RETIRED GREYHOUNDS STAYERS,1,Droopys Maybe,57127,35.54,22261,P W Young,Romeo Recruit,Droopys Hunch,b,bkw,3
2026-03-13,Romford,5,19:53,575,OR,DONATE YOUR OLD DUVETS FOR OUR RETIRED GREYHOUNDS STAYERS,2,Miami Yeats,64125,35.67,54621,M E Wiley,Ballymac Cashout,Highview Lauren,d,bk,2
2026-03-13,Romford,5,19:53,575,OR,DONATE YOUR OLD DUVETS FOR OUR RETIRED GREYHOUNDS STAYERS,3,Droopys Rosie,57161,34.99,63554,M L Locke,Burgess Bucks,Bower Deise,b,bkw,3
2026-03-13,Romford,5,19:53,575,OR,DONATE YOUR OLD DUVETS FOR OUR RETIRED GREYHOUNDS STAYERS,4,Ballymac Florie,60656,,4-2344,M L Locke,Ballymac Cashout,Ballymac Merkle,b,be,2
2026-03-13,Romford,5,19:53,575,OR,DONATE YOUR OLD DUVETS FOR OUR RETIRED GREYHOUNDS STAYERS,5,Farneys Tearaway,65624,,51214,K P Boon,Dromana Bucko,Oldburrin Diva,d,bd,1
2026-03-13,Romford,5,19:53,575,OR,DONATE YOUR OLD DUVETS FOR OUR RETIRED GREYHOUNDS STAYERS,6,Aayamza Legend,63909,35.29,225-52,J G Mullins,Ballymac Cashout,Aayamza Royal,d,bk,2
2026-03-13,Romford,6,20:13,400,OR1,CORAL GOLDEN SPRINT - 1ST SEMI FINAL,1,Da Don,65655,24.31,1-2113,M J Russell,Droopys Sydney,Queen Lilly,d,bk,2
2026-03-13,Romford,6,20:13,400,OR1,CORAL GOLDEN SPRINT - 1ST SEMI FINAL,2,Yahoo Mareike,60466,23.89,43232,P W Young,Malachi,Geelo Celticgold,b,bk,2
2026-03-13,Romford,6,20:13,400,OR1,CORAL GOLDEN SPRINT - 1ST SEMI FINAL,3,Droopys Will,60191,24.02,34122,M L Locke,Serene Ace,Droopys Berry,d,bkw,2
2026-03-13,Romford,6,20:13,400,OR1,CORAL GOLDEN SPRINT - 1ST SEMI FINAL,4,Flashing Fender,63007,23.67,12141,C R Morris,Ballymac Best,Ballymac Ariel,d,bk,2
2026-03-13,Romford,6,20:13,400,OR1,CORAL GOLDEN SPRINT - 1ST SEMI FINAL,5,Slingshot Poppy,63480,23.46,114-11,B Fairbairn,Grangeview Ten,Global Glengar,b,bd,2
2026-03-13,Romford,6,20:13,400,OR1,CORAL GOLDEN SPRINT - 1ST SEMI FINAL,6,Broadway Steel,60203,23.95,12643,M E Wiley,Burgess Bucks,Blackstone Balad,d,bk,3
2026-03-13,Romford,7,20:33,400,OR1,CORAL GOLDEN SPRINT - 2ND SEMI FINAL,1,Charlie Loves Me,61961,24.27,34232,J G Mullins,Burgess Bucks,Swift Usha,d,bkw,2
2026-03-13,Romford,7,20:33,400,OR1,CORAL GOLDEN SPRINT - 2ND SEMI FINAL,2,Quinton Boy,60345,24.24,51431,P W Young,Droopys Sydney,Droopys Lucia,d,bkw,3
