Race,Time,Dog,Odds,EstTime,Type,Kelly,Conf
R1,18:33,Abel Mabel,'9/2,24.58s,E/W,30.1%,***
R2,18:53,Headford Wayne,'11/2,24.50s,E/W,13.3%,**
R2,18:53,Aero Espresso,'7/1,24.69s,E/W,10.3%,*
R3,19:13,Rockmount Kellie,'7/4,13.11s,E/W,50.0%,***
R4,19:33,Lesleys Buddy,'3/1,13.28s,E/W,50.0%,**
R5,19:53,Farneys Tearaway,'7/2,34.17s,E/W,50.0%,**
R5,19:53,Ballymac Florie,'9/2,34.92s,E/W,23.0%,***
R6,20:13,Flashing Fender,'10/3,23.77s,E/W,25.4%,*
R7,20:33,Charlie Loves Me,'18/1,24.38s,E/W,5.6%,**
R9,21:13,Unmistakeable,'1/1,35.50s,O/R,8.5%,*
R10,21:33,Real Gone Lover,'10/1,35.88s,E/W,28.5%,***
R10,21:33,Ivanhoe Rose,'13/2,-,O/R,5.0%,?
R11,21:53,Inca Lewie,'8/1,35.49s,E/W,31.7%,*
R12,22:13,Getaway Car,'16/1,-,E/W,19.6%,?
